site,spp_1,species,count,day,month,season,year,time,sunrise,sunset,m_60
Erik & Cecil's,Fox,Fox,1,5,11,autumn,2013,22:04:00,07:37,16:42,-5.35
Lisnaskea Forest,Marten,Pine Marten,1,18,9,autumn,2015,23:58:00,06:03,18:36,-5.35
Lisnaskea Forest,Marten,Pine Marten,1,7,10,autumn,2015,01:19:00,06:39,17:48,-5.03
Mount Stewart,Fox,Fox,1,14,3,spring,2014,01:25:00,06:44,18:28,-5.32
Carrowdore,Fox,Fox,1,20,1,winter,2014,03:15:00,08:34,16:40,-5.32
Curragh,Mouse,Wood mouse,1,27,2,winter,2014,23:18:00,07:21,17:58,-5.32
Mount Stewart,Rabbit,Rabbit,1,12,3,spring,2014,01:30:00,06:49,18:24,-5.32
Lisnaskea Forest,Sika,Sika,1,17,11,autumn,2015,21:41:00,08:00,16:21,-5.32
Knockcloghrim,Hare,Hare,1,18,9,autumn,2013,23:54:00,06:04,18:35,-5.3
Lisnaskea Forest,Marten,Pine Marten,1,7,10,autumn,2015,01:21:00,06:39,17:48,-5.3
Mount Stewart,Badger,Badger,1,13,3,spring,2014,01:30:00,06:46,18:26,-5.27
Erik & Cecil's,Fallow,Fallow Deer,1,7,11,autumn,2013,21:55:00,07:41,16:38,-5.27
Lisnaskea Forest,Marten,Pine Marten,1,7,10,autumn,2015,01:23:00,06:39,17:48,-5.27
Middletown,Hare,Hare,1,15,3,spring,2015,23:43:56,06:42,18:29,-5.23
Mount Stewart,Mouse,Wood mouse,1,4,3,spring,2014,01:55:00,07:09,18:08,-5.23
Erik & Cecil's,Fallow,Fallow Deer,1,4,11,autumn,2013,02:22:00,07:35,16:43,-5.22
Lisnaskea Forest,Sika,Sika,1,25,11,autumn,2015,03:02:00,08:15,16:11,-5.22
Mount Stewart,Badger,Badger,1,10,3,spring,2014,23:33:00,06:54,18:20,-5.2
Lisnaskea Forest,Marten,Pine Marten,1,20,11,autumn,2015,21:30:00,08:06,16:17,-5.2
Carrickyheenan,Marten,Pine Marten,1,23,2,winter,2014,02:18:00,07:30,17:50,-5.2
Middletown,Rabbit,Rabbit,1,18,3,spring,2015,01:22:00,06:34,18:35,-5.2
